"","Predator","Predator_Size_Class","Predator_Size","Median_RTP","Max_RTP","Min_RTP","Func_Group"
"295","Fish",111,0.0501187233627271,3.78018030638503,3.79669300827011,3.77078400912672,"Fish"
"296","Fish",112,0.0630957344480194,3.80100864358894,3.8184691087335,3.7917349956701,"Fish"
"297","Fish",113,0.0794328234724282,3.82560588969602,3.84384260143499,3.81621729258696,"Fish"
"298","Fish",114,0.1,3.85494963134484,3.87412564989063,3.84544105734671,"Fish"
"299","Fish",115,0.125892541179417,3.89051536242137,3.91096093322524,3.88107023852473,"Fish"
"300","Fish",116,0.158489319246111,3.93404982195405,3.95613511215657,3.92511053449144,"Fish"
"301","Fish",117,0.199526231496888,3.98719272515866,4.01111270919716,3.97857383262066,"Fish"
"302","Fish",118,0.251188643150958,4.05085135754193,4.07631188857592,4.04327045712753,"Fish"
"303","Fish",119,0.316227766016838,4.12513169877089,4.15044701191778,4.11857797147921,"Fish"
"304","Fish",120,0.398107170553497,4.20693151393104,4.23048156724349,4.19988028091326,"Fish"
"305","Fish",121,0.501187233627271,4.29110322610981,4.31239664921921,4.28264691130801,"Fish"
"306","Fish",122,0.630957344480194,4.37335175561038,4.39221742140019,4.36273889244045,"Fish"
"307","Fish",123,0.794328234724282,4.44910017633054,4.46655811923434,4.43650377822847,"Fish"
"308","Fish",124,1,4.51477626887237,4.53280220662719,4.50184355874679,"Fish"
"309","Fish",125,1.25892541179417,4.57089819292737,4.58974413065776,4.55835948504508,"Fish"
"310","Fish",126,1.58489319246111,4.6191092893263,4.63865895841277,4.60690225025547,"Fish"
"311","Fish",127,1.99526231496888,4.6633373458326,4.68329557244503,4.65147952449127,"Fish"
"312","Fish",128,2.51188643150958,4.70724066837941,4.72801333589697,4.69599140717782,"Fish"
"313","Fish",129,3.16227766016838,4.75395336927879,4.77559355377997,4.74292966040084,"Fish"
"314","Fish",130,3.98107170553497,4.80376962175196,4.82647238319853,4.79316948792509,"Fish"
"315","Fish",131,5.01187233627271,4.85628306959037,4.87940314115967,4.84609226721974,"Fish"
"316","Fish",132,6.30957344480194,4.90981711216,4.93259450410341,4.90011340083389,"Fish"
"317","Fish",133,7.94328234724282,4.96255757250452,4.98460478268747,4.9533870314884,"Fish"
"318","Fish",134,10,5.0136113054718,5.03473738197906,5.00458067156743,"Fish"
"319","Fish",135,12.5892541179417,5.06278482074944,5.0829837348007,5.05405887074884,"Fish"
"320","Fish",136,15.8489319246111,5.11047750457201,5.12972294861001,5.10182592764612,"Fish"
"321","Fish",137,19.9526231496888,5.1571760987075,5.17571750530417,5.14754467561713,"Fish"
"322","Fish",138,25.1188643150958,5.20325508438064,5.22148455232486,5.19267270560392,"Fish"
"323","Fish",139,31.6227766016838,5.24845344991559,5.26676110733527,5.23742431369343,"Fish"
"324","Fish",140,39.8107170553497,5.29365067782221,5.31165464840475,5.28188905472394,"Fish"
"325","Fish",141,50.1187233627271,5.33857113421948,5.3562000920117,5.32601806367962,"Fish"
"326","Fish",142,63.0957344480194,5.38320688541767,5.40041309490041,5.36975583299112,"Fish"
"327","Fish",143,79.4328234724282,5.42755713814916,5.4446207367197,5.4131995132784,"Fish"
"328","Fish",144,100,5.47164636783669,5.48863170825907,5.45636940907074,"Fish"
"329","Fish",145,125.892541179417,5.51543672856412,5.53250357150513,5.4993106254642,"Fish"
"330","Fish",146,158.489319246111,5.55928319689535,5.57632879553666,5.54209119298853,"Fish"
"331","Fish",147,199.526231496888,5.60301044684132,5.62021462940559,5.58479772225104,"Fish"
"332","Fish",148,251.188643150958,5.64621963701692,5.66427752430515,5.62753089103795,"Fish"
"333","Fish",149,316.227766016838,5.69041070847168,5.70863813162127,5.67040146799336,"Fish"
"334","Fish",150,398.107170553497,5.73498494243142,5.75341673300713,5.71352666524397,"Fish"
"335","Fish",151,501.187233627271,5.78000063165623,5.79872870305033,5.75702631580095,"Fish"
"336","Fish",152,630.957344480194,5.82495475628045,5.84467962237297,5.80101846344279,"Fish"
